index,name,line
1,Glaxo,"The next step is to watch your mythologues interact together and, uh -- big surprise -- it's never pretty."
2,Jerry,"Oh, my God."
3,Both,Tiny Rick! [Laughs]
4,Both,"Oh, Summer!"
5,All,[Gasp]
6,Jerry,"Hey, Jerry-lover!"
